"isbn","titulo","inicial_titulo","autor","editorial","anio de publicacion","numero de paginas","idioma","generos palabras clave","Dewey","Cutte Sanborn","rotulo unica","comentarios"
"9780194774659","American English File 4: Teacher's Book","a","Oxenden, Clive; Latham-Koenig, Christina; Seligson, Paul","Oxford University Press","2009","245","IN","ESL; English language teaching; Teacher's guide; Language acquisition.","428.2","Ox98","428.2 Ox98a","x"
"9780521754729","Cambridge Preliminary English Test 3 Student's Book","c","Cambridge, University of","Cambridge University Press","2003","100","IN","PET exam; Cambridge English; ESL tests; Language proficiency.","428.1","C178","428.1 C178c","x"
"9788437604947","Cien años de soledad","c","García, Gabriel Marquéz; Joset, Jacques","Cátedra Letras Hispánicas","1984","550","ES","Realismo mágico; Novela colombiana; Literatura latinoamericana.","863.6","G216","863.6 G216c",""
"97889584276100","Cuentos Completos","c","Rosero, Evelio","Tusquest Editores S.A","2019","355","ES","Cuentos cortos; Literatura fantástica; Relatos argentinos; Ficción.","821.1","R816","821.1 R816c","x"
"9788408086819","Ella, que todo lo tuvo","e","Becerra, Ángela","Planeta Colombian S.A","2009","422","ES","Novela romántica; Ficción contemporánea; Literatura española.","863.7","B389","863.7 B389e","x"
"9788433997968","Fabián y el caos","f","Gutiérrez, Pedro Juan","Anagrama Narrativas Hispánicas ","2015","235","ES","Novela cubana; Ficción histórica; Homosexualidad; Realismo.","863.4","G984","863.4 G984f","x"
"9781593854515","Fostering Independent Learning","f","Harvey, Virginia Smith; Chickie-Wolfe, Louise A.","The Guilford Press","2007","256","IN ","Educational psychology; Student success; Academic achievement.","371.3","H342","371.3 H342f","x"
"9780871203755","Guiding School Improvement with Action Research","g","Sagor, Richard D.","ASCD - Association for Supervision Curriculum Development","2000","217","IN","Action research; School leadership; Educational improvement.","371.2","Sa129","371.2 Sa129g","x"
"9788497938501","La Misteriosa Llama De La Reina Loana","l","Eco, Umberto","Best Seller","2006","504","ES","Novela italiana; Memoria; Ficción histórica; Ilustraciones.","853.9","Ec19","853.9 Ec19l","x"
"9789588979731","La perra","l","Quintana, Pilar","Literatura Random House","2017","108","ES","Novela colombiana; Ficción contemporánea; Relaciones humanas.","863.7","Q7","863.7 Q7l","x"
"97889589029855","Manual de Semiótica general","m","Klinkenberg, Jean-Marie","Universidad Jorge Tadeo Lozano","2006","447","ES","Semiótica; Comunicación; Teoría de los signos; Análisis visual.","302.2","K65","302.2 K65m","x"
"9788431635459","Poesía / Poem (Clasicos Hispanicos)","p","Machado, Antonio","Vicens Vives","1995","44","ES/IN","Poesía barroca; Literatura mexicana; Clásicos hispánicos.","861.6","M149","861.6 M149p","x"
"9781429236997","Psychology","p","Myers, David G.","Worth Publishers","2010","721","IN","General psychology; Behavioral science; Mental processes.","150.0","M996","150.0 M996p","x"
"9780130456700","Ready-to-Use ESL Activities","r","Josel, Carol A.; Josel, Gavrielle","The Center for Applied Research in Education","1994","312","IN","ESL activities; Lesson plans; English as a second language.","428.0","J83","428.0 J83r","x"
"9789588979052","Un mundo huérfano","u","Caputo, Giuseppe","Literatura Random House","2016","216","ES","Literatura colombiana; Novela contemporánea; Relaciones familiares.","863.7","C255","863.7 C255u","x"
"9780521273190","Ways with Words: Language, Life and Work...","w","Heath, Shirley Brice","Cambridge University Press","1983","421","IN","Sociolinguistics; Literacy; Language in education; Anthropology.","372.6","H438","372.6 H438w","x"
"9781930556485","101 ""Answers"" for New Teachers and Their Mentors: Effective Teaching Tips for Daily Classroom Use","a","Breaux, Annette","Eye On Education","2003","160","IN","Educación; Formación docente; Manejo de clase.","371.1","B828","371.1 B828a","x"
"9780132338417","Academic Connections 4 with MyLab Academic Connections","a","Williams, Julia; Martisen, Marit Ter-Mate; Hill, David","Pearson Longman","2010","197","IN","ESL; Inglés académico; Comprensión lectora.","428.0","W724","428.0 W724a","x"
"9780325011363","Academic Language for English Language Learners and Struggling Readers: How to Help Students Succeed Across Content Areas","a","Freeman, Yvonne S.; Freeman, David E.","Heinemann","2009","210","IN","Adquisición de segunda lengua; Lingüística aplicada.","428.2","F855","428.2 F855a","x"
"9780325000916","Best Practice: New Standards for Teaching and Learning in America's Schools","b","Zemelman, Steven; Daniels, Harvey; Hyde, Arthur","Heinemann","1998","308","IN","Innovación educativa; Estándares escolares; Currículo.","371.1","Z53","371.1 Z53b","x"
"9780300084979","Building Cross-Cultural Competence: How to Create Wealth from Conflicting Values","b","Hampden-Turner, Charles; Trompenaars, Fons; Lewis, David R.","Yale University Press","2000","388","IN","Cultura organizacional; Globalización; Sociología.","658.0","H229","658.0 H229b","x"
"9780194371476","Classroom Dynamics (Oxford English Resource Books for Teachers)","c","Hadfield, Jill; Maley, Alan","Oxford Univ. Press","1992","180","IN","Dinámica de grupos; Enseñanza de idiomas; ESL.","371.0","H129","371.0 H129c","x"
"9780618230174","College Oral Communication 2 (English for Academic Success)","c","Roemer, Ann; Byrd, Patricia; Reid, Joy M.; Schuemann, Cynthia M.","Houghton Mifflin","2006","244","IN","Comunicación oral; Inglés para fines académicos.","428.3","R715","428.3 R715c","x"
"9780193118508","Content-Based Instruction","c","Crandall, JoAnn; Kaufman, Dorit","Oxford Univ. Press","2002","212","IN","Enseñanza de idiomas; Integración curricular; ESL.","428.0","C891","428.0 C891c","x"
"9789587040395","CUENTOS DE TERROR","c","Molina, Mauricio ","ALFAGUARA","1997","167","ES","Cuentos de terror; Literatura fantástica; Antología.","813.3","M722","813.3 M722c","x"
"9780130618573","Huellas de las literaturas hispanoamericanas (Second Edition)","h","Garganigo, John F.; Costa, René de; Heller, Ben; Luiselli, Alessandra; Sabat-Rivers, Georgina; Sklodowska, Elzbieta","Prentice Hall","2002","784","ES","Literatura hispanoamericana; Historia y crítica.","468.6","G231","468.6 G231h","x"
"9781416600206","In There with the Kids: Crafting Lessons That Connect with Students","i","Kobrin, David","ASCD","2004","265","IN","Práctica docente; Relación profesor-alumno; Aula.","371.1","K75","371.1 K75i","x"
"9789582014414","Las Escuelas Normales Superiores: 25 años entre imaginarios y realidades (1997-2022) (Spanish Edition)","l","Suarez, Hernán; Tezanos Araceli; Echeverri Jesús; Herrera Gloria; Campo Marlene; Munar Yudi; Rodríguez William","Magisterio","2022","340","ES","Educación en Colombia; Escuelas normales; Historia.","370.7","Su939","370.7 Su939l","x"
"9781416602859","Learning on Display: Student-Created Museums That Build Understanding","l","D'acquisto, Linda","ASCD","2006","191","IN","Museos escolares; Aprendizaje activo; Pedagogía.","371.3","D999","371.3 D999l","x"
"9789587162219","Literatura, practicas criticas y transformacion cultural. Tomo II","l","Acosta, Carmen; Alzate Carolina; Figueroa, Rafael; Jaramillo Alejandra; Mojica, Sarah; Osorio Betty","JALLA Bogotá","2008","634","ES","Crítica literaria; Cultura; Ensayo latinoamericano.","801.9","Ac185","801.9 Ac185l","x"
"9789587390285","Social research applied to english language teaching in Colombian contexts: Theory and Methods (Spanish Edition)","s","Escobar, Wilder Yesid","Universidad El Bosque","2013","185","IN","Investigación social; Enseñanza del inglés; Colombia.","428.0","Es74","428.0 Es74s","x"
"9780821909768","Somos asi 1 Teacher Edition","s","Funston, James F.","EMC Publishing","1994","504","IN/ES","Enseñanza del español; Guía del docente; ESL.","468.2","F943","468.2 F943s","x"
"9780194422079","Teaching Young Language Learners (Oxford Handbooks for Language Teachers Series)","t","Pinter, Annamaria","Oxford Univ. Press","2006","180","IN","Enseñanza de idiomas; Niños; Lingüística aplicada.","372.6","P659","372.6 P659t","x"
"9780815604594","The Grandees: America's Sephardic Elite","t","Birmingham, Stephen","Syracuse Univ. Press","1997","368","IN","Judíos sefardíes; Élite social; Estados Unidos.","920.0","B619","920.0 B619t","x"
"9780761938057","The Lighter Side of Teaching","t","Bacall, Aaron","Corwin Press","2003","84","IN","Humor; Profesores; Caricaturas educativas.","741.5","B116","741.5 B116t","x"
"9780205521067","99 Ideas and Activities for Teaching English Learners with the SIOP Model","i","Vogt, MaryEllen; Echevarria, Jana","Pearson","2008","197","IN","Modelo SIOP; Estrategias de lectura; ESL.","428.0","V887","428.0 V887i","x"
"9781635988949","Big Ideas Math: Modeling Real Life","b","Larson, Ron; Boswell, Laurie","Big Ideas Learning","2019","396","IN","Matemáticas; Educación primaria; Modelado.","510.7","L334","510.7 L334b","x"
"9781635988895","Big Ideas Math: Modeling Real Life - (Grade 4) Student Edition (Volume 1)","b","Larson, Ron; Boswell, Laurie","Big Ideas Learning","2019","344","IN","Matemáticas; Cuarto grado; Educación primaria.","510.7","L334","510.7 L334b","x"
"9781635988819","Big Ideas Math: Modeling Real Life - Grade 2 Student Edition (Volume 1)","b","Larson, Ron; Boswell, Laurie","Big Ideas Learning","2019","686","IN","Matemáticas; Segundo grado; Educación primaria.","510.7","L334","510.7 L334b","x"
"9789582007348","CRÓNICAS HISTÓRICAS DE LA EDUCACIÓN EN COLOMBIA","c","Quiceno, Humberto","Magisterio","2003","335","ES","Historia de la educación; Colombia; Crónicas.","370.9","Q6","370.9 Q6c","x"
"9788483230466","El diseño de tareas para la clase comunicativa (Cambridge de didactica de lenguas)","e","Nunan, David","Cambridge Univ. Press","1996","232","ES","Lingüística; Tareas comunicativas; Didáctica.","468.0","N972","468.0 N972e","x"
"9780198314738","Literature, Criticism, and Style: A Practical Guide to Advanced Level English Literature","l","Croft, Steven; Cross Helen","Oxford Univ. Press","2000","345","IN","Crítica literaria; Estilística; Literatura inglesa.","820.7","C941","820.7 C941l","x"
"9780205518869","Making Content Comprehensible for English Learners: The SIOP Model","m","Echevarria, Jana; Vogt, MaryEllen; Short, Deborah J.","Pearson","2008","268","IN","Modelo SIOP; Educación bilingüe; Pedagogía.","428.0","Ec18","428.0 Ec18m","x"
"9780070122970","Read, Reason, Write","r","Seyler, Dorothy U.","McGraw-Hill","1999","581","IN","Retórica; Escritura académica; Pensamiento crítico.","808.0","Se519","808.0 Se519r","x"
"9783319658186","Teacher Education in Lifelong Learning: Developing Professionalism as a Democratic Endeavour","t","Iredale, Alison","Palgrave Macmillan","2018","235","IN","Educación continua; Formación docente; Democracia.","371.3","Ir65","371.3 Ir65t","x"
"9788498017151","¿Qué hay dentro?: ¡Mira las páginas al trasluz!","q","Jarrín, Teresa Rodríguez","OKIDO","2013","95","ES","Anatomía humana; Divulgación infantil; Cuerpo humano.","031.0","J37","031.0 J37q","x"
"9780836848052","Animal Taste (Animals And Their Senses)","a","Hall, Kirsten","GARETH STEVENS","2006","24","IN ","Sentidos de los animales; Zoología infantil; Gusto.","573.8","H177","573.8 H177a","x"
"9781432902384","Aprender De Los Fosiles/ Learning from Fossils (Explorar los Recursos del Planeta/ Exploring Earth's Resources) (Spanish Edition)","a","Cooper, Sharon Katz","Heinemann","2007","24","ES","Fósiles; Paleontología; Geología infantil.","560.0","C778","560.0 C778a","x"
"9780972624411","At Home in This World: A China Adoption Story","a","MacLeod, Jean","EMK PRESS","2003","32","IN","Adopción; Cultura china; Literatura infantil; Identidad.","362.7","M165","362.7 M165a","x"
"9781577650928","Atlantic Ocean (Oceans and Seas)","a","Prevost, John F.","ABDO","2003","24","IN","Oceanografía; Océano Atlántico; Geografía física.","551.4","P944","551.4 P944a","x"
"9781452112428","Because of an Acorn","b","Schaefer, Lola M.; Schaefer, Adam; Preston-Gannon, Frann","NRDC","2016","32","IN","Ecología; Ciclos de vida; Bosques; Naturaleza.","577.3","Sch294","577.3 Sch294b","x"
"9781580870054","Celebrations and Festivals (Launch Pad Library)","c","Chrisp, Peter","STAMPLEY","1999","30","IN ","Fiestas y celebraciones; Cultura; Antropología social.","394.2","C554","394.2 C554c","x"
"9781429600187","Clothes in Many Cultures (Life Around the World)","c","Adamson, Heather; Saunders-Smith, Gail","CAPSTONE","2008","24","IN ","Vestuario; Cultura mundial; Costumbres y tradiciones.","391.0","Ad221","391.0 Ad221c","x"
"9788498670929","Cuida tu planeta-juan y tolola (Spanish Edition)","c","Child, Lauren","FSC","2008","32","ES","Medio ambiente; Reciclaje; Literatura infantil.","823.9","C536","823.9 C536c","x"
"9780836832471","Electricity (Everyday Science)","e","Riley, Peter; Cooke, Rachel","GARETH STEVENS","2002","31","IN","Electricidad; Ciencia para niños; Física.","537.0","R573","537.0 R573e","x"
"9780060268527","Harry and the Lady Next Door","h","Zion, Gene; Graham, Margaret Bloy","HapperCollinsPublisher","1960","40","IN ","Ficción infantil; Perros; Cuentos.","428.6","Z79","428.6 Z79h","x"
"9780765190574","Herbert the Lion","h","Newberry, Clare Turlay","SMITHMARK","1931","32","IN ","Leones; Ficción infantil; Ilustrados.","160.0","N534","160.0 N534h","x"
"9780516207971","How Animals See Things (Rookie Read-About Science)","h","Fowler, Allan","CHILDRENS PRESS","1998","31","IN ","Visión animal; Zoología; Ciencia básica.","573.8","F785","573.8 F785h","x"
"9780753454725","Human Body (Curious Kids Guides)","h","Avison, Brigid","KINGFISHER","1993","31","IN ","Cuerpo humano; Anatomía; Divulgación científica.","612.0","Av958","612.0 Av958h","x"
"9780688178406","I Face the Wind","i","Cobb, Vicki; Gorton, Julia","HapperCollinsPublisher","2003","32","IN ","Viento; Meteorología infantil; Física básica.","551.5","C653","551.5 C653i","x"
"9780060275730","I Have an Olive Tree","i","Bunting, Eve; Barbour, Karen","HapperCollinsPublisher","1999","16","IN ","Familia; Grecia; Literatura infantil.","813.0","B942","813.0 B942i","x"
"9781856978811","I Wonder Why Stars Twinkle: And Other Questions About Space","i","Stott, Carole","KINGFISHER","1993","32","IN ","Astronomía; Estrellas; Espacio exterior.","520.0","St888","520.0 St888i","x"
"9780516060156","It Could Still Be a Cat (Rookie Read-About Science)","i","Fowler, Allan","CHILDRENS PRESS","1993","32","IN ","Animales; Felinos; Clasificación científica.","636.8","F785","636.8 F785i","x"
"9788484182634","La Gallina Lulu (Spanish Edition)","l","ULRIKE, SWOBODA ANNETTE-KUCKERO","ZENDRERA ZARIQUIET","2005","30","ES","Ficción infantil; Aves; Cuentos.","833.9","Ul45","833.9 Ul45l","x"
"9780689829802","Love Is...","l","Halperin, Wendy Anderson","SIMON & SCHUSTER CHILDREN'S","2001","28","IN ","Valores; Amor; Literatura infantil.","242.5","H195","242.5 H195l","x"
"9780516200408","Mountain Mammals (True Books: Animals)","m","Landau, Elaine","CHILDRENS PRESS","1996","48","IN ","Mamíferos de montaña; Zoología; Hábitats.","599.0","L253","599.0 L253m","x"
"9780439455169","My Color","m","Mann, Rachel","SCHOLASTIC ","2002","8","IN ","Colores; Aprendizaje temprano; Conceptos básicos.","535.6","M282","535.6 M282m","x"
"9780688123543","Nature's Green Umbrella: Tropical Rain Forests","n","Gibbons, Gail","MORROW EAGLE ","1994","15","IN ","Selvas tropicales; Ecología; Naturaleza.","574.5","G441","574.5 G441n","x"
"9788498252439","Prometeo (Caballo mitológico) (Spanish Edition)","p","Jané, Albert; Ginard, P.","COMBEL","2007","23","ES","Mitología griega; Leyendas; Literatura infantil.","398.2","J33","398.2 J33p","x"
"9780753456194","Rocks and Fossils","r","Pellant, Chris","KINGFISHER","2003","47","IN ","Geología; Rocas; Fósiles; Mineralogía.","552.0","P385","552.0 P385r","x"
"9780789497604","Rocks and Minerals (Eye Wonder)","r","Bingham, Caroline","EYE WONDER","2004","48","IN ","Mineralogía; Geología; Guías visuales.","549.0","B613","549.0 B613r","x"
"9781404800151","Rocks: Hard, Soft, Smooth, and Rough (Amazing Science)","r","Rosinsky, Natalie M.; John, Matthew","PICTURE WINDOW BOOKS","2003","24","IN ","Rocas; Geología; Ciencias de la tierra.","552.0","R821","552.0 R821r","x"
"9789802571406","Sapo y el forastero","s","Velthuijs, Max; Dearden, Carmen Diana","EKARÉ","1993","26","ES ","Tolerancia; Amistad; Ficción infantil.","833.9","V445","833.9 V445s","x"
"9781567663945","The Child's World of Carefulness (The Childs World of Values)","t","Riehecky, Janet","THE CHILD'S WORLD","1998","23","IN ","Valores; Prudencia; Educación ética.","613.6","R555","613.6 R555t","x"
"9781567662962","The Child's World of Courage (The Child's World of Values)","t","Moncure, Jane Belk; Ann, Mechelle","THE CHILD'S WORLD","1997","31","IN ","Valores; Valentía; Educación ética.","179.6","M739","179.6 M739t","x"
"9781567662993","The Child's World of Joy (The Child's World of Values)","t","Moncure, Jane Belk","THE CHILD'S WORLD","1997","31","IN ","Valores; Alegría; Educación emocional.","179.9","M739","179.9 M739t","x"
"9781567662931","The Child's World of Kindness (The Child's World of Values)","t","Moncure, Jane Belk","THE CHILD'S WORLD","1997","31","IN ","Valores; Bondad; Educación ética.","177.7","M739","177.7 M739t","x"
"9781567663938","The Child's World of Manners","t","Ziegler, Sandra; Ann, Mechelle","THE CHILD'S WORLD","1998","23","IN ","Modales; Etiqueta social; Educación básica.","395.0","Z66","395.0 Z66t","x"
"9781567663921","The Child's World of Responsibility (The Childs World of Values)","t","Moncure, Jane Belk; Riehecky, Janet; Ann, Mechelle","THE CHILD'S WORLD","1998","24","IN ","Valores; Responsabilidad; Educación ética.","170.8","M739","170.8 M739t","x"
"9781567662948","The Child's World of Success (The Child's World of Values)","t","McDonnell, Janet","THE CHILD'S WORLD","1997","31","IN ","Valores; Superación; Educación ética.","158.1","M478","158.1 M478t","x"
"9781567662955","The Child's World of Thankfulness","t","McDonnell, Janet; Ann, Mechelle","THE CHILD'S WORLD","1997","31","IN ","Valores; Gratitud; Educación ética.","179.9","M478","179.9 M478t","x"
"9781567663075","The Child's World of Understanding (The Child's World of Values)","t","Ann, Mechelle","THE CHILD'S WORLD","1997","31","IN ","Valores; Empatía; Educación emocional.","152.4","An613","152.4 An613t","x"
"9789587049237","Traiciones de la memoria","t","Faciolince, Héctor Abad","ALFAGUARA","2009","265","ES ","Literatura colombiana; Ensayo; Memoria.","863.6","F141","863.6 F141t","x"
"9781580870016","Traveling on Water","t","Oklade, Chris","STAMPLEY","1998","32","IN ","Transporte acuático; Navegación; Historia.","387.2","Ok41","387.2 Ok41t","x"
"9780452297982","Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time","t","Adams, Mark","A PLUME BOOK","2011","333","IN ","Viajes; Historia; Perú; Arqueología.","985.3","Ad215","985.3 Ad215t","x"
"9781404800175","Water: Up, Down, and All Around (Amazing Science)","w","Rosinsky, Natalie M.; Rosinsky, Natalie M.","PICTURE WINDOW BOOKS","2003","24","IN ","Ciclo del agua; Hidrología infantil; Ciencias.","551.4","R821","551.4 R821w","x"
"9788416082810","WOOLLY LA PEQUEÚA MAMUT TIENE FRIO !","w","Childs, Sam","SCHOLASTIC CHILDREN'S BOOK","2013","26","IN ","Prehistoria; Mamuts; Ficción infantil.","823.9","C537","823.9 C537w","x"
"9780794525149","1001 Things to Spot in the Town","t","Milbourne, Anna; Owen, Susannah; Gower, Teri","SCHOLASTIC ","2001","32","IN ","Libros de búsqueda; Vocabulario; Ciudad.","428.1","M638","428.1 M638t","x"
"9780761309185","Air and Flight (Science Factory)","a","Richards, Jon","COPPER BEECH BOOKS ","1999","31","IN ","Aerodinámica; Experimentos; Física básica.","629.1","R516","629.1 R516a","x"
"9788498011036","Aprende a contar con Babar (Babar series)","a","Brunhoff, Laurent de; Diéguez, Remedios Diéguez","BLUME","2005","32","ES ","Matemáticas iniciales; Números; Infantil.","513.2","B895","513.2 B895a","x"
"9780805015959","Count!","c","Fleming, Denise","SQUARE FISH","1995","32","IN ","Números; Conteo; Álbum ilustrado.","513.2","F597","513.2 F597c","x"
"9780811840477","Dancing with Degas","d","Merberg, Julie; Bober, Suzanne","CHRONICLE BOOKS LLC","2003","18","IN ","Arte; Ballet; Pintura; Infantil.","709.2","M552","709.2 M552d","x"
"9780516200385","Desert Mammals (True Books: Animals)","d","Landau, Elaine","CHILDRENS PRESS","1996","48","IN ","Mamíferos del desierto; Zoología; Hábitats.","591.9","L253","591.9 L253d","x"
"9789583046988","El inventor chiflado","e","Ulf, Blanck ","PANAMERICANA","2015","84","ES ","Ficción infantil; Inventos; Misterio.","833.9","Ul38","833.9 Ul38e","x"
"9788424632496","El zoológico (Busquemos) (Spanish Edition)","e","Losantos, Cristina","LaGalera - BUSQUEMOS ","2009","31","ES ","Animales del zoo; Libros de búsqueda; Infantil.","741.6","L879","741.6 L879e","x"
"9788434225077","Electricidad & magnetismo (Spanish Edition)","e","Rodríguez, Alicia ","Parramón","2002","48","ES ","Física; Electricidad; Magnetismo; Juvenil.","507.2","R696","507.2 R696e","x"
"9780836832488","Floating and Sinking (Everyday Science)","f","Riley, Peter; Cooke, Rachel","GARETH STEVENTS","2002","31","IN ","Física; Flotabilidad; Experimentos sencillos.","532.2","R573","532.2 R573f","x"
"9780762440726","Happiness Is a Warm Blanket, Charlie Brown","h","Fox, Jennifer; Schulz, Charles M.","RUNNING PRESS KIDS","2011","40","IN ","Ficción infantil; Cómic; Snoopy.","741.5","F792","741.5 F792h","x"
"9780865056091","Homes Around the World (Crabapples)","h","Kalman, Bobbie","Crabtree Publishing Company","1994","32","IN ","Arquitectura; Viviendas; Cultura mundial.","392.3","K14","392.3 K14h","x"
"9788424121747","Me pregunto por qué: El viento sopla y otras preguntas sobre nuestro planeta","m","Ganeri, Anita; Chris, Forsey; Tony, Kenyon; Ruth, Villa Pérez","EDITORIAL EVEREST S.A","1996","32","ES","Ciencias de la tierra; Fenómenos naturales.","550.0","G196","550.0 G196m","x"
"9780836837179","Movement (Everyday Science)","m","Riley, Peter","GARETH STEVENTS","2003","31","IN ","Física; Movimiento; Mecánica básica.","573.7","R573","573.7 R573m","x"
